epsilon,tracs_d,strawman,tracs_c
2,4.495552228754152,3.4714840164224876,3.926089120053101
4,3.241004101948968,2.999702609207259,2.787102810041232
6,2.301057401700706,2.7184011657693006,1.8926496201227863
8,1.6548223165990594,2.5384733931783603,1.2426756160815617
10,1.2497541292635896,2.421286534057194,0.7940947197144316
epsilon,tracs_d,strawman,tracs_c
2,3.477786171342164,2.721440425903028,3.011119385343775
4,2.54024189364868,2.3508809065104095,2.141508247530372
6,1.8152303728711332,2.1569117865780956,1.4417465533280587
8,1.3091154163668464,2.0338636442412064,0.9525265974687738
10,0.9735326931623772,1.9562633660178372,0.5945927957206683
